               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.056546,            0.031839,            0.038397,             0.49495,             0.65612,             0.56196,             0.33128,            0.025455,            0.010737,            0.016826,            0.070015,           0.0033316,           0.0033316
                   1,            0.041276,             0.02731,            0.024939,             0.51558,             0.68022,             0.59296,             0.35238,            0.024131,            0.010736,            0.015398,            0.039883,            0.006533,            0.006533
                   2,            0.039712,            0.026919,            0.022059,             0.70827,             0.73231,             0.77717,             0.48731,             0.02395,             0.01016,           0.0098868,           0.0096193,           0.0096024,           0.0096024
                   3,            0.038129,            0.026655,            0.021167,             0.69702,             0.74704,             0.77672,             0.48773,            0.023095,            0.010049,           0.0093878,            0.009406,            0.009406,            0.009406
                   4,            0.036313,            0.026018,             0.01944,             0.76661,             0.75467,             0.81603,             0.52687,            0.022011,           0.0096272,           0.0080394,            0.009406,            0.009406,            0.009406
                   5,            0.035151,            0.025637,            0.017927,             0.74153,             0.78769,              0.8233,             0.54525,            0.021457,           0.0094704,            0.007586,            0.009208,            0.009208,            0.009208
                   6,            0.034251,            0.025107,            0.017508,              0.7524,             0.82721,             0.85286,             0.55844,            0.020947,           0.0094485,           0.0067538,             0.00901,             0.00901,             0.00901
                   7,            0.033884,            0.025209,            0.016899,             0.78204,             0.81561,             0.86305,             0.57158,            0.021382,            0.009223,           0.0063551,            0.008812,            0.008812,            0.008812
                   8,            0.033043,            0.024746,            0.016003,              0.7679,             0.82553,             0.86197,             0.57767,             0.02048,           0.0091517,           0.0065378,            0.008614,            0.008614,            0.008614
                   9,            0.032488,            0.024154,            0.015494,             0.78666,             0.81939,             0.87645,             0.59553,            0.020299,           0.0090927,           0.0062477,            0.008416,            0.008416,            0.008416
                  10,            0.032278,            0.024158,             0.01507,             0.78603,             0.82755,             0.87569,             0.60733,            0.019947,           0.0089213,           0.0058014,            0.008218,            0.008218,            0.008218
